Property Id,Property Name,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh)
20566009,317 West 87th Street,1-01249-0022,1033968,317 West 87th Street,New York,10024,48,50,86.0,90.0,85.1,3806698.9,3982425.3,4.5,115.6,118.6,114.4,5114937.5,5249650.5,708203.3,207562.5,200519.1,207562.5
21294043,AKAM - 46 West 83rd Street,1-01196-0052,1031196,46 West 83rd Street,New York,10024,91,50,64.6,69.6,93.3,3681737.2,3963160.3,4.0,90.5,94.6,130.6,5151678.3,5386479.7,798820.0,234120.7,226026.4,234120.8
4952304,AKAM - 250 West 89th Street,1-01236-7501,1071151,250 West 89th Street,New York,10024,47,50,76.0,81.2,74.9,12533051.0,13379098.5,6.2,116.6,120.0,114.8,19215438.3,19779827.5,3658668.9,1072294.4,1024773.3,1072295.0
6896695,935 Kelly Street,2-02703-0018,2005453,935 Kelly Street,Bronx,10459,89,50,43.4,42.6,61.0,1288762.6,1265829.4,9.4,103.6,100.8,145.7,3076202.5,2993483.9,984572.4,288561.6,278741.1,288561.7
4407515,SW - 83-09 35th Avenue,4-01444-0032,4035531,83-09 35th Avenue,Queens,11372,4,50,141.2,151.3,91.8,7972344.9,8537848.4,3.5,169.4,179.3,110.2,9562352.3,10121522.5,694989.9,203689.9,197893.8,203689.9
20662117,DEPM 1658 - 130 West 12th Street,1-00607-7502,1088864,130 West 12th Street,New York,10011,21,50,111.5,112.9,91.6,11703879.3,11857472.7,6.3,156.0,156.2,128.1,16378674.6,16401308.0,2336915.0,684910.5,661691.7,684910.6
2665599,Stellar - 288 9th Street,3-01010-0026,3022261,288 9th Street,Brooklyn,10003,6,50,148.2,160.4,101.9,24508336.5,26527905.3,4.8,185.6,197.2,127.6,30688943.5,32615597.5,2831537.2,829876.0,797403.5,829876.1
3110807,DEPM 1904 - 14 East 90th St,1-01501-0056,1046978,14 East 90th Street,New York,10128,76,50,71.1,76.0,86.7,13350731.0,14264372.2,5.2,106.5,111.0,129.9,19995689.1,20852543.1,3415669.5,1001075.3,983914.2,1001075.0
6309259,300 West End Avenue,1-01166-0001,1030718,300 West End Avenue,New York,10023,94,50,53.7,56.9,83.1,6708080.4,7112333.5,4.4,83.3,86.0,129.0,10416219.8,10744692.6,1927277.4,564852.6,548776.1,564852.7
10894165,Progressive - 922 Forbell Street,3-04571-0050,3350235,922 Forbell Street,Brooklyn,11208,52,50,75.8,78.6,77.3,3221321.8,3340505.1,5.8,114.2,116.9,116.4,4853126.3,4967687.4,840422.0,246313.6,244541.4,246313.6
4945801,AKAM - Hilltop Village 3,4-10538-0070,4434613;4434614,87-50 204th Street / 202-35 Foothill Avenue,Quuens,11427,39,50,76.9,80.6,72.0,16592298.6,17396846.5,5.3,113.0,116.3,105.9,24401085.7,25112546.6,3988098.3,1168844.6,1146517.7,1168845.0
5864818,AKAM - 510 Waverly Avenue,3-02011-0039,3057561,510 Waverly Avenue,Brooklyn,11238,33,50,74.5,79.8,63.0,5690846.6,6096572.7,11.4,146.0,151.6,123.6,11161945.7,11587958.1,2963746.7,868624.4,868624.4,868624.5
10894157,Progressive - 986 Morris Avenue,2-02432-0005,2002179,986 Morris Avenue,Bronx,10456,52,50,92.9,99.5,94.5,3169485.8,3395715.4,5.1,129.2,134.7,131.4,4408597.1,4596575.1,617506.9,180980.9,172680.3,180980.9
7530294,SW - 535 East 78th Street,1-01490-0023,1046418,535 East 78th Street,New York,10075,100,50,17.2,16.8,64.2,762412.3,747151.6,4.5,45.8,44.8,170.9,2030102.4,1987372.4,702611.1,205923.5,201450.9,205923.5
6669102,AKAM - 205 East 59th Street,1-01414-7502,1087103,205 East 59th Street,New York,10022,9,50,90.9,96.0,62.9,10717619.8,11320595.6,13.5,176.0,181.4,121.8,20760978.5,21394103.2,5432844.4,1592275.4,1592275.4,1592276.0
15088530,Kosciusko Street,3-01781-0061,3398195,275 KOSCIUSKO ST,Brooklyn,11221,48,50,81.1,85.0,80.4,2506185.5,2628668.1,8.4,136.1,139.6,134.9,4207869.3,4317112.3,900785.5,264005.1,260762.1,264005.1
5876480,DEPM 2568 - 435 East 52nd Street,1-01364-0022,1040155,435 East 52nd Street,New York,10022,69,50,73.8,79.5,84.1,34259196.2,36904336.8,6.1,122.5,128.4,139.6,56840047.7,59612474.4,9860610.4,2889979.2,2814772.9,2889980.0
22740717,Main Building,4018330215,4437277,129-02 Northern Blvd,Corona,11368,76,50,23.4,23.0,39.6,1683037.7,1654564.6,6.4,63.7,62.5,108.1,4592805.4,4504128.7,1614637.7,473223.2,463378.9,473223.2
5876476,DEPM 1650 - 45 West 10th Street,1-00574-0067,1009558,45 West 10th Street,New York,10011,50,50,97.9,106.1,98.3,7772313.8,8419279.2,4.7,128.9,135.8,129.4,10229792.7,10780407.7,1326049.3,388642.8,371785.5,388642.8
4952713,AKAM - 34-41 78th Street,4-01265-0052,4029136,34-41 78th Street,Queens,11372,76,50,65.6,71.9,79.8,4976842.0,5450445.2,2.5,84.1,90.1,102.3,6379182.1,6834921.9,659141.7,193183.4,186225.8,193183.4
6553181,AKAM - 300 West 72nd Street,1-01183-0035,1030967,300 West 72nd Street,New York,10023,71,50,62.6,66.6,72.7,2062786.3,2192888.2,5.3,97.9,101.7,113.6,3224047.9,3350492.4,604641.3,177210.2,175508.2,177210.2
10894246,Progressive - 3629 White Plains Road,2-04647-7501,2129019,3629 White Plains Road,Bronx,10467,98,50,41.0,41.0,82.9,3828954.8,3828954.8,10.3,104.5,104.5,211.6,9771147.3,9771147.3,3286139.8,963112.4,963112.4,963112.5
15568432,AKAM - 51 Jay Street,3-00031-7504,3000036,51 Jay Street,Brooklyn,11201,79,50,47.3,49.1,59.1,6935698.5,7202318.0,8.3,98.2,101.2,122.6,14401655.6,14827899.1,4068098.4,1192291.3,1216791.9,1192291.0
11878621,AKAM - 230 Central Park West,1-01197-0029,1031232,230 Central Park West,New York,10024,77,50,68.9,73.3,84.5,10773412.0,11453888.5,5.7,107.4,111.0,131.7,16794384.5,17360233.4,3132743.9,918154.6,893259.1,918154.7
2750488,AKAM - 365 Bridge Street,3-02058-7501,3392184,365 Bridge Street,Brooklyn,11201,17,50,93.4,96.8,72.7,34259637.8,35516106.7,10.5,161.9,164.2,126.0,59385938.4,60245983.2,13379039.2,3921171.6,3844258.7,3921172.0
4952360,AKAM - 317-321 East 50th Street,1-01343-7501,1039641,317-321 East 50th Street,New York,10022,78,50,71.7,78.2,88.0,7185943.2,7834664.7,3.2,95.1,101.3,116.7,9522777.5,10142348.3,1130021.2,331190.2,320875.9,331190.3
6410196,2044 Webster Ave,2030290015,2011117,2044 Webster Avenue,Bronx,10457,34,50,254.4,257.7,218.3,16538814.4,16751637.0,56.0,606.3,604.8,520.2,39409748.4,39309770.2,12596567.6,3691842.3,3637673.5,3691843.0
10894158,Progressive - 1055 Findlay Avenue,2-02433-0023,2002218,1055 Findlay Avenue,Bronx,10456,32,50,110.3,109.7,98.2,5348600.2,5316311.5,4.4,143.0,141.1,127.3,6932606.8,6842198.5,752329.5,220495.1,211031.9,220495.2
4952750,AKAM - 212-03 75th Avenue,4-07732-0150,4444452;4444455;4453069;4453070;4453071;4444454;4444456;4444453,212-03 75th Avenue,Queens,11364,76,50,72.1,77.7,87.4,17556436.0,18923955.3,3.4,96.7,102.0,117.2,23544927.9,24838121.1,2920382.9,855915.2,832016.0,855915.3
2665600,Stellar - 49-57 Crown St,3-01189-0060,3029715,49-57 Crown Street,Brooklyn,11225,8,50,131.1,138.9,94.1,41967878.2,44462965.4,6.2,176.1,182.8,126.3,56347209.4,58486954.3,7017678.4,2056763.7,1976358.9,2056764.0
4951990,AKAM - 350 West 53rd Street,1-01043-7503,1025247;1025248,350 West 53rd Street,New York,10019,7,50,99.5,104.3,68.8,5234461.7,5485295.6,12.6,179.4,184.4,124.0,9438465.5,9701841.0,2252731.8,660237.8,660237.8,660237.9
2694235,DEPM 1752 - 95 Lexington Ave,1-00882-0028,1018132,95 Lexington Avenue,New York,10016,90,50,64.7,69.9,91.2,3880787.4,4198542.5,3.4,88.8,93.8,125.3,5330985.4,5628159.7,717804.9,210376.6,204269.0,210376.6
10894225,Progressive - 864 Hewitt Place,2-02696-7501,2118990,864 Hewitt Place,Bronx,10459,28,50,82.4,84.4,71.5,8124810.7,8317544.4,7.7,134.1,134.5,116.4,13218184.3,13263112.9,2678361.7,784982.8,758615.1,784982.9
2669011,SW - 542 East 79th St,1-01490-0028,1046419,542 East 79th Street,New York,10021,97,50,34.5,34.1,57.5,1966347.2,1945694.0,9.7,95.0,93.9,158.2,5410799.6,5352970.7,1912077.2,560397.7,554344.6,560397.8
2672569,DEPM 2470 - 230 Central Park South,1-01030-0048,1024921,230 Central Park South,New York,10019,19,50,77.5,82.1,61.8,6678328.9,7071802.9,9.1,135.8,140.6,108.2,11695047.4,12108195.1,2675886.9,784257.5,784257.5,784257.6
11985435,DEPM 1830 - 160 Leroy Street,1-00601-7503,1090584,160 Leroy Street,New York,10014,52,50,72.1,75.8,73.4,13472502.0,14169687.8,11.3,142.8,146.8,145.6,26706446.9,27438492.0,7177325.6,2103553.6,2103553.6,2103554.0
10894226,Progressive - 2271 Washington Avenue,2-03038-0029,2011340,2271 Washington Avenue,Bronx,10457,68,50,71.1,74.3,80.8,7959868.8,8320345.6,6.0,111.9,114.0,127.2,12525637.4,12762717.4,2381585.8,698002.8,674318.2,698002.9
20662116,DEPM 1932 - 244 Madison Avenue,1-00867-0057,1017221,244 Madison Avenue,New York,10016,69,50,73.2,78.7,83.9,10449582.3,11236082.9,6.6,118.0,122.2,135.3,16856379.2,17452463.9,3362467.3,985482.7,947006.6,985482.8
2679801,AKAM - 505 Court Street,3-00476-7501,3397571;3008141,505 Court Street,Brooklyn,11231,40,50,93.7,102.4,88.2,13943287.9,15243646.6,5.8,134.3,142.2,126.4,19985981.1,21160514.0,3054587.9,895248.4,863286.6,895248.5
11985534,DEPM 2614 - 25 -11 38th Avenue,4-00368-7501,4615671,25 -11 38th Avenue,Queens,11101,100,50,33.4,33.6,66.7,1316150.7,1324247.2,6.4,73.6,73.8,146.9,2898615.0,2907116.4,866661.0,254003.8,254003.8,254003.8
2694305,DEPM 2318 - 375 Riverside Dr,1-01893-0035,1057313,375 Riverside Drive,New York,10025,78,50,66.0,70.3,81.5,9949919.7,10586444.9,3.2,88.9,92.9,109.7,13397766.3,14001753.7,1685914.7,494113.3,483333.8,494113.3
2704639,DEPM 2870 - 2 River Terrace,1-00016-7516,1087518,2 River Terrace,New York,10282,35,50,72.4,76.4,65.9,35978922.6,37967836.4,10.1,136.3,140.5,124.0,67686671.5,69775030.9,17090744.4,5009010.1,5009010.1,5009011.0
4951943,AKAM - 4 Lexington Avenue,1-00877-0074,1078734,4 Lexington Avenue,New York,10010,73,50,79.2,86.3,93.1,10162696.6,11079741.1,3.7,105.8,112.5,124.4,13571059.6,14433132.8,1657273.3,485719.0,468833.4,485719.0
2665742,DEPM 2344 - 300 West 23rd St,1-00746-7503,1013429,300 West 23rd Street,New York,10011,59,50,77.9,83.3,83.3,14019224.9,14999578.3,6.9,121.2,126.7,129.6,21814225.5,22804382.4,4241756.2,1243187.5,1243187.5,1243188.0
22740717,Main Building,4018330215,4437277,129-02 Northern Blvd,Corona,11368,76,50,23.4,23.0,39.6,1683037.7,1654564.6,6.4,63.7,62.5,108.1,4592805.4,4504128.7,1614637.7,473223.2,463378.9,473223.2
10894238,Progressive - 14-10 New Haven Avenue,4-15622-0100,4299188,14-10 New Haven Avenue,Queens,11691,61,50,79.5,82.7,86.0,11404935.0,11877872.7,5.9,118.9,121.8,128.7,17068840.4,17487481.3,2910662.1,853066.2,840012.5,853066.3
4040798,DEPM 1886 - 340 West 86th Street,1-01247-7501,1033928,340 West 86th Street,New York,10024,86,50,74.0,72.0,99.4,5402566.7,5257985.7,4.2,103.3,100.6,138.7,7539261.4,7345552.6,1066609.4,312605.3,305588.2,312605.3
2665599,Stellar - 288 9th Street,3-01010-0026,3022261,288 9th Street,Brooklyn,10003,6,50,148.2,160.4,101.9,24508336.5,26527905.3,4.8,185.6,197.2,127.6,30688943.5,32615597.5,2831537.2,829876.0,797403.5,829876.1
6292403,ZARA - 88-05 171 LLC,4-09827-0008,4210221,88-05 171 st Street,Queens,11432,48,50,72.5,74.1,72.0,4600951.1,4701436.9,4.8,104.9,106.2,104.2,6659838.2,6740880.0,1045051.2,306286.9,302189.1,306287.0
4952327,AKAM - 685 West End Avenue,1-01252-0050,1034135,685 West End Avenue,New York,10025,87,50,61.5,67.5,84.0,10250036.1,11251648.6,3.2,82.5,88.0,112.7,13746347.7,14678201.8,1876330.8,549921.0,537044.2,549921.1
11878625,AKAM - 432 West 52nd Street,1-01061-7501,1026728,432 West 52nd Street,New York,10019,70,50,53.2,55.0,61.4,3133457.1,3239281.0,8.1,104.3,106.2,120.2,6137685.4,6248800.5,1627174.5,476897.5,476897.5,476897.6
3107671,DEPM 1344 - 311 East 38th St,1-00944-7501,1021933,311 East 38th Street,New York,10016,43,50,74.1,79.7,71.2,9413760.8,10118060.3,5.6,113.3,117.3,108.7,14383772.5,14898902.5,2571042.1,753529.3,715950.2,753529.3
4952764,AKAM - 73-11 Bell Boulevard,4-07738-0001,4453072;4453073;4444457;4444459;4444458,73-11 Bell Boulevard,Queens,11364,75,50,66.7,72.6,80.0,12634491.4,13738044.3,3.5,91.5,97.2,109.7,17329484.8,18401743.0,2321867.9,680500.5,666018.4,680500.6
2665497,Stellar - 236 East 13th Street,1-00468-0027,1083490;1077725;1077726,236 East 13th Street,New York,10003,89,50,84.1,91.1,117.3,4714451.0,5109638.1,4.5,115.7,122.3,161.5,6487700.4,6857116.6,878586.8,257499.0,249873.8,257499.1
4951933,AKAM - 10 Park Avenue,1-00864-0035,1017105,10 Park Avenue,New York,10016,50,50,78.7,85.9,78.9,17882914.9,19518655.0,5.0,122.4,130.2,122.6,27801458.2,29565511.8,4028561.6,1180703.7,1143299.5,1180704.0
6667521,AKAM - 15 West 72nd Street,1-01125-0024,1028636,15 West 72nd Street,New York,10023,59,50,82.0,82.0,87.1,55286845.6,55283354.1,4.7,114.5,113.9,121.6,77196199.0,76803164.1,10940006.4,3206332.1,3141122.1,3206332.0
2694382,DEPM 2618 - 863 Park Ave,1-01412-0001,1043184,863 Park Avenue,New York,10075,69,50,78.8,86.5,90.9,4173057.2,4578414.3,4.5,106.9,114.6,123.4,5660663.6,6070074.4,805927.0,236203.7,236203.7,236203.7
5864833,AKAM - 145 Park Place,3-00939-7502,3018945,145 Park Place,Brooklyn,11217,92,50,36.0,37.7,53.1,2801084.0,2930814.9,7.0,78.4,81.4,115.6,6095660.3,6330435.7,1802584.0,528307.1,544813.2,528307.2
2740668,1380 Riverside Drive,1-02179-0005,1064332,"1380 Riverside Drive, 1384 Riverside Drive",New York,10033,68,50,77.7,81.5,88.2,11669067.0,12240409.1,3.3,99.2,102.4,112.6,14891790.7,15376818.7,1722764.1,504913.2,489845.2,504913.3
6667547,AKAM - 324 Pearl Street,1-00106-7502,1001364,324 Pearl Street,New York,10038,62,50,82.8,87.4,90.3,3149735.4,3322013.2,6.0,124.2,127.3,135.4,4721504.2,4839052.5,808161.2,236858.5,226249.9,236858.5
10894153,Progressive - 55 Bowen Street,5-02877-0025,5043324,55 Bowen Street,Staten Island,10304,50,50,100.3,104.6,100.7,15555012.2,16232582.2,5.2,137.8,141.0,138.4,21381009.4,21875480.3,2884712.3,845460.7,809122.1,845460.8
21294034,AKAM - 148 West 23rd Street,1-00798-0071,1014811,148 West 23rd Street,New York,10011,86,50,51.3,54.1,68.8,6513256.4,6864496.6,5.3,86.3,88.7,115.8,10963869.7,11259696.3,2357114.6,690830.7,678609.0,690830.8
2672535,DEPM 2640 - 53 North Moore St,1-00188-7503,1002127,53 North Moore Street,New York,10004,12,50,85.2,87.5,61.3,9190114.1,9436850.8,13.9,172.4,174.8,123.9,18594256.4,18853330.0,5111221.0,1498013.0,1498013.0,1498013.0
6690535,Stellar - 2-4 West 111th Street,1-01594-0040,1051399,2-4 West 111th Street,New York,10026,1,50,198.1,209.0,76.1,5095693.2,5374596.8,18.9,321.6,332.4,123.6,8272709.6,8550660.7,1669846.7,489404.0,486909.0,489404.1
4945597,AKAM - WVH 726 Washington Street,1-00638-0019,1083551;1083552;1083553;1083554;1083555;1083556;1083557;1083558;1083559;1083560,726 Washington Street,New York,10014,73,50,35.1,35.1,41.4,4153018.7,4153018.7,10.3,98.3,98.3,115.8,11628452.2,11628452.2,4153018.7,1217180.0,1217180.0,1217180.0
7530287,SW - 532 East 79th Street,1-01490-0030,1046420,532 East 79th Street,New York,10075,100,50,16.8,16.3,65.4,753902.0,731929.2,4.3,44.0,42.6,171.6,1978205.3,1916681.3,678061.8,198728.5,192288.7,198728.5
2694266,DEPM 2080 - 173-175 Riverside Dr,1-01250-0067,1034035;1805024;1085105,173-175 Riverside Drive,New York,10024,80,50,78.5,84.2,98.7,21092471.0,22632677.4,4.8,111.7,117.1,140.5,30027849.0,31481631.3,4503288.2,1319838.1,1292466.8,1319838.0
11878625,AKAM - 432 West 52nd Street,1-01061-7501,1026728,432 West 52nd Street,New York,10019,70,50,53.2,55.0,61.4,3133457.1,3239281.0,8.1,104.3,106.2,120.2,6137685.4,6248800.5,1627174.5,476897.5,476897.5,476897.6
2665352,Stellar - 70 West 93rd Street,1-01206-0001,1031627,70 West 93rd Street,New York,10025,100,50,19.2,19.2,45.5,5022480.9,5022480.9,4.7,48.2,48.2,114.3,12615136.7,12615136.7,4195161.0,1229531.2,1229531.2,1229531.0
11985439,AKAM - 25-21 43rd Avenue,4-00430-7501,4617481,25-21 43rd Avenue,Queens,11101,94,50,49.3,51.5,75.0,4920455.8,5132621.2,4.0,76.7,78.1,116.7,7650115.5,7788961.9,1419221.1,415949.9,401894.0,415949.9
2704584,DEPM 1470 - 333 East 43rd St,1-01336-0015,1038666,333 East 43rd Street,New York,10017,70,50,85.9,93.4,99.0,12805840.6,13917122.0,5.4,120.7,127.5,139.0,17978829.5,19004617.1,2812224.1,824215.6,808397.9,824215.7
4401430,"451 Broome Street, New York",1-00474-0029,1007047,"451 Broome Street, New York",Manhattan,10013,81,50,70.4,77.4,90.9,5616435.6,6171893.4,4.6,99.1,106.2,128.0,7907556.1,8468568.4,1247688.6,365676.6,365676.6,365676.6
10894227,Progressive - 2040-2060 White Plains Road,2-04284-7501,2114768,2040-2060 White Plains Road,Bronx,10462,31,50,80.0,84.1,70.8,10967739.4,11529010.8,6.9,126.2,129.3,111.7,17300513.9,17734433.3,3305364.3,968746.8,942718.3,968746.9
21295185,DEPM 1638 - 111 West 57th Street,1-01010-7507,1023728,111 West 57th Street,New York,10001,81,50,47.4,50.3,60.3,27156962.6,28763653.0,5.7,87.9,91.2,111.7,50282324.1,52215238.7,11076888.2,3246449.9,3246449.9,3246450.0
15568369,AKAM - 579 West 215th Street,1-02250-0084,1065087,579 West 215th Street,New York,10034,62,50,86.7,93.3,94.5,6775813.9,7291711.3,3.3,111.8,117.5,121.8,8732630.1,9183342.8,924586.0,270980.6,255743.7,270980.7
2595904,"Tee-Lex Operating, Inc.",1-00892-0020,1018952,288 Lexington Ave.,New York,10016,70,50,89.2,88.9,103.1,5797791.1,5778143.5,4.8,120.0,119.1,138.8,7801734.9,7740699.1,1083916.8,317677.8,310910.8,317677.9
2693054,DEPM 1286 - 45 Sutton Place South,1-01371-0014,1040721,45 Sutton Place South,New York,10022,81,50,52.0,55.6,65.8,25955980.7,27767781.8,4.2,86.5,89.6,109.5,43198277.9,44770085.4,7530845.5,2207164.3,2095605.6,2207165.0
4940487,ZARA - 88-05 Merrick Blvd,4-09817-0006,4210068,88-05 Merrick Boulevard,Jamaica,11432,72,50,83.2,86.8,97.6,5978584.1,6235173.2,3.3,107.5,110.9,126.1,7723860.6,7965110.9,826484.2,242228.6,237511.1,242228.7
4945508,AKAM - TV3 2915 West 5th Street,3-07274-0060,3196586,2915 West 5th Street,Brooklyn,11224,100,50,26.8,25.7,63.0,13187665.5,12649625.0,4.2,55.0,51.9,129.2,27056266.6,25549753.3,7548124.5,2212228.5,2054537.9,2212229.0
4952193,AKAM - 588 West End Avenue,1-01236-0003,1033289,588 West End Avenue,New York,10024,72,50,72.6,78.1,85.1,5010216.3,5390663.3,2.9,92.1,96.9,108.0,6357922.7,6691522.8,722128.0,211643.6,203336.1,211643.6
4952304,AKAM - 250 West 89th Street,1-01236-7501,1071151,250 West 89th Street,New York,10024,47,50,76.0,81.2,74.9,12533051.0,13379098.5,6.2,116.6,120.0,114.8,19215438.3,19779827.5,3658668.9,1072294.4,1024773.3,1072295.0
10894154,Progressive - 195 Steuben Street,5-02893-0001,5043578,195 Steuben Street,Staten Island,10304,81,50,64.0,66.5,81.1,9198693.3,9566339.3,4.0,93.8,93.5,118.9,13486216.4,13444440.8,2187193.4,641029.6,569382.7,641029.7
10894160,Progressive - 266 East 169th Street,2-02450-0031,2002616,266 East 169th Street,Bronx,10456,41,50,97.4,103.4,91.9,2703090.0,2870669.5,7.2,146.5,151.8,138.2,4065848.1,4211932.9,701487.8,205594.3,200591.2,205594.3
7055942,Stonehenge - 23-01 42nd Road,4-00425-0001,4617250,23-01 42nd Road,New York,11101,99,50,44.2,47.2,85.4,17279685.9,18451516.2,2.8,63.8,66.4,123.3,24949258.1,25956104.4,3888907.4,1139773.4,1102329.9,1139774.0
4951978,AKAM - 150 West 51st Street,1-01003-7501,1022710,150 West 51st Street,New York,10019,49,50,89.3,90.9,89.2,51665244.8,52615149.3,8.0,142.6,143.5,142.4,82510328.1,83051597.9,15994560.0,4687736.8,4611346.0,4687737.0
20662118,DEPM 1848 - 45 East 66th Street,1-01381-7502,1076285,45 East 66th Street,New York,10065,100,50,18.9,18.2,45.4,1639131.2,1583526.9,5.3,52.8,51.0,127.2,4589567.5,4433875.4,1639131.2,480401.8,464105.1,480401.9
4952573,AKAM - 60 East End Avenue,1-01579-0023,1051164,60 East End Avenue,New York,10028,59,50,91.5,91.9,97.6,32325342.5,32493178.5,5.0,126.3,126.5,134.8,44649436.8,44722400.8,6118758.4,1793305.3,1776011.1,1793306.0
4409392,Stonehenge SL Green - 400 East 58th Street,1-01369-0045,1040555,400 East 58th Street,New York,10022,76,50,77.5,82.6,94.4,11186495.3,11911420.6,4.2,107.1,111.5,130.3,15450435.4,16087696.3,2116923.1,620434.6,599682.5,620434.7
2665906,Stonehenge - 360 East 65th Street,1-01439-0030,1044696,360 East 65th Street,NY,10065,54,50,85.8,90.6,88.1,16178905.4,17084579.4,5.8,126.2,129.9,129.6,23793329.5,24482668.8,3888845.0,1139755.1,1095940.3,1139755.0
5864830,AKAM - 196 East 75th Street,1-01409-0040,1043090,196 East 75th Street,New York,10021,72,50,65.3,66.9,76.4,10839361.7,11112503.4,6.3,107.4,107.9,125.7,17821918.7,17911492.9,3680336.6,1078644.8,1045614.4,1078645.0
2668287,SW - 33-24 Parsons Blvd,4-04981-0050,4112563,33-24 Parsons Boulevard,Queens,11354,68,50,76.1,80.3,86.0,8191946.2,8643799.0,4.3,106.6,110.0,120.6,11483191.4,11849229.1,1646656.0,482607.2,464451.5,482607.3
4945813,200 East 32nd Street-The Future Condominium,1-00912-7502,1077352,200 East 32nd Street,New York,10016,86,50,71.9,75.2,104.8,15353532.9,16061695.6,14.3,158.2,164.4,230.5,33777302.8,35105115.5,10089196.2,2956973.9,3054820.5,2956974.0
2672547,AKAM - 3935 Blackstone Ave,2-05908-0210,2085798;2112675,3935 Blackstone Avenue,Bronx,10471,62,50,74.7,80.5,81.2,11477895.3,12357502.1,3.7,101.6,106.5,110.4,15601934.9,16359603.3,2028654.2,594564.5,566777.0,594564.5
11861638,AKAM - 176 Broadway,1-00065-0017,1001100,176 Broadway,New York,10038,60,50,54.6,57.7,58.6,9187959.7,9708705.0,7.0,100.1,102.5,107.3,16832002.3,17234795.8,4105511.2,1203256.4,1179141.6,1203257.0
10894247,Progressive - 1426 Loring Avenue,3-04517-0001,3347342;3388331,1426 Loring Avenue,Brooklyn,11208,12,50,73.7,73.6,55.1,3507844.5,3502561.3,21.6,206.5,206.2,154.2,9821964.7,9807171.6,3507844.5,1028090.3,1026541.9,1028090.0
10546474,Stellar - 211 Mcguinness Boulevard,3-02576-7501,3379800,211 Mcguinness Boulevard,Brooklyn,11222,62,50,53.5,55.6,57.9,11333992.4,11784434.2,9.5,111.0,115.4,120.3,23532928.4,24462145.1,6646992.2,1948121.7,2024533.2,1948122.0
6672344,Renaissance Realty - 2211-25 Church Ave,3-05089-0071,3116881,2211-25 Church Ave,Brooklyn,11226,38,50,63.2,63.2,54.5,2023947.8,2023947.8,18.5,177.1,177.1,152.7,5667053.9,5667053.9,2023947.8,593185.1,593185.1,593185.2
2665508,Stellar - 44-50 West 28th St,1-00829-0068,1015707,44-50 West 28th Street,New York,10001,90,50,56.4,60.6,116.6,7993855.2,8601290.2,7.4,104.5,108.0,216.3,14825974.0,15312810.1,3675672.1,1077277.7,1051993.7,1077278.0
2669318,SW - 36-25 Parsons Blvd,4-05014-0001,4113417,36-25 Parsons Boulevard,Queens,11354,68,50,81.2,87.7,91.9,5062890.3,5466636.6,3.0,104.2,110.2,117.9,6494155.0,6868162.1,673211.6,197307.0,188945.5,197307.0
2674025,DEPM 1532 - 45 West 54th St,1-01270-0008,1034787,45 West 54th Street,New York,10019,90,50,45.5,49.0,65.0,3737165.9,4026725.0,4.9,82.0,85.6,117.2,6736540.2,7028695.8,1409081.8,412978.2,402664.8,412978.3
6553181,AKAM - 300 West 72nd Street,1-01183-0035,1030967,300 West 72nd Street,New York,10023,71,50,62.6,66.6,72.7,2062786.3,2192888.2,5.3,97.9,101.7,113.6,3224047.9,3350492.4,604641.3,177210.2,175508.2,177210.2
6671476,Renaissance Realty - 495 Lincoln Place,3011780079,3029611,495 Lincoln Place,Brooklyn,11238,1,50,206.5,222.7,89.1,5277655.5,5691014.6,5.1,248.1,264.2,107.0,6340335.8,6752689.1,456455.7,133779.5,130149.7,133779.5
4042543,DEPM 1860-2 - Cosmopolitan Assoc #2,4-01219-0032,4431285;4431286;4431287;4431288;4431289;4431290,37-06 66th Street,Queens,11377,69,50,104.1,110.9,118.9,17139001.9,18257149.4,3.8,133.3,139.1,152.2,21947049.1,22900594.2,2257769.8,661714.4,624784.3,661714.5
10894222,Progressive - 1041 Findlay Avenue,2-02433-0028,2002219,1041 Findlay Avenue,Bronx,10456,72,50,83.0,86.4,97.1,8398342.5,8738193.0,3.8,110.5,113.3,129.2,11175932.6,11467288.5,1347241.7,394853.9,383886.4,394854.0
2669177,SW - 910 West End Ave,1-01876-0061,1056604,910 West End Avenue,New York,10025,78,50,73.5,79.5,90.3,9750915.3,10540170.4,4.1,102.5,107.8,125.8,13588160.5,14295475.0,1914114.0,560994.6,540662.5,560994.7
6282767,Maverick: 493 Fulton St,3-00152-0001,3000400,493 Fulton St,Brooklyn,11201,92,50,43.2,47.9,81.3,1298071.7,1440202.4,5.4,77.5,82.5,145.9,2329275.7,2478512.9,552171.7,161832.2,161832.2,161832.3
